Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2014

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Addison Police Dept,IL,12,      37480,          65,           0,,          12,          11,          42,         612,          89,         505,          18,         173.4,            .0,,          32.0,          29.3,         112.1,       1632.9,         237.5,       1347.4,          48.0
Algonquin Police Dept,IL,12,      30566,          18,           0,,           1,           3,          14,         447,          29,         413,           5,          58.9,            .0,,           3.3,           9.8,          45.8,       1462.4,          94.9,       1351.2,          16.4
Alsip Police Dept,IL,12,      19493,          36,           0,,           2,          15,          19,         567,          92,         412,          63,         184.7,            .0,,          10.3,          77.0,          97.5,       2908.7,         472.0,       2113.6,         323.2
Alton Police Dept,IL,12,      27157,         148,           2,,          21,          30,          95,       1235,         254,         916,          65,         545.0,           7.4,,          77.3,         110.5,         349.8,       4547.6,         935.3,       3373.0,         239.3
Antioch Police Dept,IL,12,      14398,          16,           0,,           2,           1,          13,         225,          21,         198,           6,         111.1,            .0,,          13.9,           6.9,          90.3,       1562.7,         145.9,       1375.2,          41.7
Arlington Heights Police Dept,IL,12,      76200,          43,           0,,           4,          12,          27,         743,         134,         588,          21,          56.4,            .0,,           5.2,          15.7,          35.4,         975.1,         175.9,         771.7,          27.6
Aurora Police Dept,IL,12,     200419,         558,           8,,          43,         108,         399,       2982,         509,       2356,         117,         278.4,           4.0,,          21.5,          53.9,         199.1,       1487.9,         254.0,       1175.5,          58.4
Barrington Police Dept,IL,12,      10368,           2,           0,,           2,           0,           0,         104,          10,          91,           3,          19.3,            .0,,          19.3,            .0,            .0,       1003.1,          96.5,         877.7,          28.9
Bartlett Police Dept,IL,12,      41784,          14,           1,,           1,           3,           9,         236,          15,         216,           5,          33.5,           2.4,,           2.4,           7.2,          21.5,         564.8,          35.9,         516.9,          12.0
Batavia Police Dept,IL,12,      26445,          36,           0,,           6,           5,          25,         372,          23,         346,           3,         136.1,            .0,,          22.7,          18.9,          94.5,       1406.7,          87.0,       1308.4,          11.3
