Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2014

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abington Police Dept,MA,12,      16200,          28,           0,,           4,           6,          18,         338,          56,         272,          10,         172.8,            .0,,          24.7,          37.0,         111.1,       2086.4,         345.7,       1679.0,          61.7
Acton Police Dept,MA,12,      23193,          17,           0,,           2,           0,          15,         181,          28,         148,           5,          73.3,            .0,,           8.6,            .0,          64.7,         780.4,         120.7,         638.1,          21.6
Acushnet Police Dept,MA,12,      10392,          23,           0,,           3,           1,          19,          91,          36,          50,           5,         221.3,            .0,,          28.9,           9.6,         182.8,         875.7,         346.4,         481.1,          48.1
Agawam Police Dept,MA,12,      28769,          52,           0,,          12,           4,          36,         374,         146,         204,          24,         180.8,            .0,,          41.7,          13.9,         125.1,       1300.0,         507.5,         709.1,          83.4
Amesbury Police Dept,MA,12,      16783,          42,           0,,           7,           3,          32,         155,          23,         125,           7,         250.3,            .0,,          41.7,          17.9,         190.7,         923.6,         137.0,         744.8,          41.7
Amherst Police Dept,MA,12,      38977,          69,           0,,          20,           7,          42,         288,          95,         175,          18,         177.0,            .0,,          51.3,          18.0,         107.8,         738.9,         243.7,         449.0,          46.2
Andover Police Dept,MA,12,      34882,          16,           0,,           4,           3,           9,         252,          22,         213,          17,          45.9,            .0,,          11.5,           8.6,          25.8,         722.4,          63.1,         610.6,          48.7
Arlington Police Dept,MA,12,      44439,          63,           0,,           9,           9,          45,         382,          61,         304,          17,         141.8,            .0,,          20.3,          20.3,         101.3,         859.6,         137.3,         684.1,          38.3
Ashland Police Dept,MA,12,      17333,          15,           0,,           1,           4,          10,         137,          33,          96,           8,          86.5,            .0,,           5.8,          23.1,          57.7,         790.4,         190.4,         553.9,          46.2
Athol Police Dept,MA,12,      11655,          46,           0,,           5,           3,          38,         191,          57,         131,           3,         394.7,            .0,,          42.9,          25.7,         326.0,       1638.8,         489.1,       1124.0,          25.7
Attleboro Police Dept,MA,12,      44084,         107,           0,,          12,          12,          83,         846,         182,         619,          45,         242.7,            .0,,          27.2,          27.2,         188.3,       1919.1,         412.8,       1404.1,         102.1
Auburn Police Dept,MA,12,      16392,          41,           1,,           4,           4,          32,         490,          85,         390,          15,         250.1,           6.1,,          24.4,          24.4,         195.2,       2989.3,         518.5,       2379.2,          91.5
Barnstable Police Dept,MA,12,      44642,         282,           0,,          19,          29,         234,       1083,         223,         795,          65,         631.7,            .0,,          42.6,          65.0,         524.2,       2426.0,         499.5,       1780.8,         145.6
Bedford Police Dept,MA,12,      14179,           7,           1,,           1,           1,           4,          67,           6,          59,           2,          49.4,           7.1,,           7.1,           7.1,          28.2,         472.5,          42.3,         416.1,          14.1
Belchertown Police Dept,MA,12,      14758,          21,           0,,           2,           3,          16,         157,          34,         119,           4,         142.3,            .0,,          13.6,          20.3,         108.4,       1063.8,         230.4,         806.3,          27.1
Bellingham Police Dept,MA,12,      16801,          30,           0,,           1,           8,          21,         272,          50,         207,          15,         178.6,            .0,,           6.0,          47.6,         125.0,       1619.0,         297.6,       1232.1,          89.3
Belmont Police Dept,MA,12,      25550,          16,           0,,           6,           0,          10,         174,          37,         124,          13,          62.6,            .0,,          23.5,            .0,          39.1,         681.0,         144.8,         485.3,          50.9
Beverly Police Dept,MA,12,      41023,          78,           0,,           5,           8,          65,         474,          59,         398,          17,         190.1,            .0,,          12.2,          19.5,         158.4,       1155.4,         143.8,         970.2,          41.4
Billerica Police Dept,MA,12,      42393,          34,           0,,           3,           2,          29,         389,          66,         297,          26,          80.2,            .0,,           7.1,           4.7,          68.4,         917.6,         155.7,         700.6,          61.3
Boston Police Dept,MA,12,     654413,       4749,          53,         280,,       1680,       2736,      17269,       2680,      13077,       1512,         725.7,           8.1,          42.8,,         256.7,         418.1,       2638.9,         409.5,       1998.3,         231.0
Bourne Police Dept,MA,12,      19781,          63,           1,,           9,           5,          48,         309,         104,         186,          19,         318.5,           5.1,,          45.5,          25.3,         242.7,       1562.1,         525.8,         940.3,          96.1
