Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2014

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Albany Police Dept,NY,12,      98595,         792,           8,,          51,         236,         497,       3876,         681,       3073,         122,         803.3,           8.1,,          51.7,         239.4,         504.1,       3931.2,         690.7,       3116.8,         123.7
Allegany County Sheriff Department,NY,12,,           2,           0,,           0,           0,           2,           4,           0,           4,           0,,,,,,,,,,
Amherst Town Police Dept,NY,12,     118860,         128,           1,,          16,          43,          68,       2066,         176,       1846,          44,         107.7,            .8,,          13.5,          36.2,          57.2,       1738.2,         148.1,       1553.1,          37.0
Amsterdam Police Dept,NY,12,      18099,          30,           0,           3,,          15,          12,         490,         107,         370,          13,         165.8,            .0,          16.6,,          82.9,          66.3,       2707.3,         591.2,       2044.3,          71.8
Auburn Police Dept,NY,12,      27314,         124,           0,,          45,          13,          66,         954,         127,         807,          20,         454.0,            .0,,         164.8,          47.6,         241.6,       3492.7,         465.0,       2954.5,          73.2
Batavia Police Dept,NY,12,      15223,          76,           1,,          21,          12,          42,         599,         115,         476,           8,         499.2,           6.6,,         137.9,          78.8,         275.9,       3934.8,         755.4,       3126.8,          52.6
Beacon Police Dept,NY,12,      14330,          43,           0,,           3,          17,          23,         245,          38,         201,           6,         300.1,            .0,,          20.9,         118.6,         160.5,       1709.7,         265.2,       1402.7,          41.9
Bedford Town Police Dept,NY,12,      17782,           2,           0,,           1,           0,           1,         123,          12,         109,           2,          11.2,            .0,,           5.6,            .0,           5.6,         691.7,          67.5,         613.0,          11.2
Bethlehem Police Dept,NY,12,      34653,          36,           0,,           9,           6,          21,         454,          58,         385,          11,         103.9,            .0,,          26.0,          17.3,          60.6,       1310.1,         167.4,       1111.0,          31.7
Binghamton Police Dept,NY,12,      46229,         307,           1,,          49,          83,         174,       2048,         343,       1653,          52,         664.1,           2.2,,         106.0,         179.5,         376.4,       4430.1,         742.0,       3575.7,         112.5
Blooming Grove Police Dept,NY,12,      11960,           8,           0,,           0,           2,           6,          89,          21,          59,           9,          66.9,            .0,,            .0,          16.7,          50.2,         744.1,         175.6,         493.3,          75.3
Brighton Police Dept,NY,12,      36884,          26,           0,,           4,           8,          14,         856,          75,         756,          25,          70.5,            .0,,          10.8,          21.7,          38.0,       2320.8,         203.3,       2049.7,          67.8
Broome County Sheriff Department,NY,12,,          68,           1,,          26,           8,          33,         673,         121,         525,          27,,,,,,,,,,
Buffalo Police Dept,NY,12,     258419,       3173,          60,,         173,       1277,       1663,      12449,       3119,       8362,         968,       1227.9,          23.2,,          66.9,         494.2,         643.5,       4817.4,       1207.0,       3235.8,         374.6
Camillus Police Dept,NY,12,      24307,          13,           0,           0,,           3,          10,         470,          35,         429,           6,          53.5,            .0,            .0,,          12.3,          41.1,       1933.6,         144.0,       1764.9,          24.7
Canandaigua Police Dept,NY,12,      10452,          54,           0,,          24,           2,          28,         301,          56,         237,           8,         516.6,            .0,,         229.6,          19.1,         267.9,       2879.8,         535.8,       2267.5,          76.5
Carmel Town Police Dept,NY,12,      34463,          12,           0,,           0,           2,          10,         206,          42,         159,           5,          34.8,            .0,,            .0,           5.8,          29.0,         597.7,         121.9,         461.4,          14.5
Cattaraugus County Sheriff Department,NY,12,,          48,           3,,           9,           1,          35,         406,          89,         297,          20,,,,,,,,,,
Cayuga County Sheriff Department,NY,12,,          27,           0,,          10,           2,          15,         225,          51,         164,          10,,,,,,,,,,
Chautauqua County Sheriff Department,NY,12,,          38,           2,,          17,           4,          15,         548,         199,         325,          24,,,,,,,,,,
Cheektowaga Town Police Dept,NY,12,      78209,         203,           1,,          26,          66,         110,       2699,         300,       2324,          75,         259.6,           1.3,,          33.2,          84.4,         140.6,       3451.0,         383.6,       2971.5,          95.9
Chemung County Sheriff Department,NY,12,,          34,           0,,           8,           3,          23,         548,          48,         488,          12,,,,,,,,,,
Chenango County Sheriff Department,NY,12,,          29,           1,,          12,           1,          15,         355,          87,         262,           6,,,,,,,,,,
Cicero Town Police Dept,NY,12,      29671,          19,           0,,           2,           4,          13,         477,          54,         417,           6,          64.0,            .0,,           6.7,          13.5,          43.8,       1607.6,         182.0,       1405.4,          20.2
Clarkstown Police Dept,NY,12,      81435,          75,           1,,          14,          27,          33,       1461,          84,       1350,          27,          92.1,           1.2,,          17.2,          33.2,          40.5,       1794.1,         103.1,       1657.8,          33.2
Clinton County Sheriff Department,NY,12,,           6,           0,,           0,           0,           6,          17,           0,          15,           2,,,,,,,,,,
Cohoes Police Dept,NY,12,      16202,          43,           0,,           5,          12,          26,         224,          50,         153,          21,         265.4,            .0,,          30.9,          74.1,         160.5,       1382.5,         308.6,         944.3,         129.6
Colonie Town Police,NY,12,      78717,          73,           0,,           6,          37,          30,       2010,         187,       1786,          37,          92.7,            .0,,           7.6,          47.0,          38.1,       2553.5,         237.6,       2268.9,          47.0
Columbia County Sheriff Department,NY,12,,          18,           0,,          10,           3,           5,         324,          82,         231,          11,,,,,,,,,,
Corning Police Dept,NY,12,      11041,          39,           0,,           3,           4,          32,         342,          48,         289,           5,         353.2,            .0,,          27.2,          36.2,         289.8,       3097.5,         434.7,       2617.5,          45.3
Cortland City Police Dept,NY,11,      19032,          28,           2,,          11,           3,          12,         364,          70,         279,          15,,,,,,,,,,
Cortland County Sheriff Office,NY,1,,           0,           0,           0,,           0,           0,          25,           1,          24,           0,,,,,,,,,,
Delaware County Sheriff Department,NY,12,,          23,           0,,           8,           1,          14,         159,          43,         110,           6,,,,,,,,,,
Depew Police Dept,NY,12,      15200,          15,           0,,           5,           4,           6,         251,          42,         207,           2,          98.7,            .0,,          32.9,          26.3,          39.5,       1651.3,         276.3,       1361.8,          13.2
Dewitt Police Dept,NY,12,      22682,          22,           0,           2,,           7,          13,         685,          97,         577,          11,          97.0,            .0,           8.8,,          30.9,          57.3,       3020.0,         427.7,       2543.9,          48.5
