School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
610385,MULTICULTURAL HS,2.0,41.835282,-87.735283,397.0,59.0,89.0,38.0,13.0,6.0,,14.6,41.0,82.0,3.0
609783,JEFFERSON HS,2.0,41.867832,-87.680418,1031.0,292.0,167.0,71.0,49.0,10.0,2.0,,,,
400117,NOBLE - HANSBERRY HS,2.0,41.734442,-87.650987,1840.0,282.0,390.0,152.0,76.0,63.0,9.0,19.1,,86.2,4.0
400102,URBAN PREP - WEST HS,1.0,41.86254,-87.660107,1741.0,455.0,309.0,136.0,64.0,14.0,5.0,16.6,74.6,57.3,2.0
610513,AIR FORCE HS,2.0,41.828145,-87.632757,1124.0,220.0,253.0,91.0,63.0,19.0,2.0,18.8,61.5,86.7,3.0
609727,PHILLIPS HS,2.0,41.82388,-87.619796,2339.0,595.0,500.0,198.0,114.0,27.0,6.0,15.2,55.4,63.0,2.0
609712,HIRSCH HS,3.0,41.753748,-87.601727,3362.0,526.0,872.0,338.0,187.0,73.0,11.0,13.1,40.5,40.0,2.0
609711,HARPER HS,1.0,41.775124,-87.669089,2985.0,351.0,700.0,246.0,158.0,108.0,12.0,14.6,31.9,55.9,2.0
610567,MAGIC JOHNSON - ROSELAND HS,2.0,41.69516,-87.642697,1129.0,184.0,231.0,87.0,49.0,18.0,2.0,15.0,14.3,,
400130,YCCS - YOUTH DEVELOPMENT,2.0,41.75137700000001,-87.64173100000002,2954.0,389.0,805.0,303.0,112.0,97.0,4.0,12.5,14.6,,
400056,NOBLE - ROWE CLARK HS,1.0,41.895362,-87.718047,4045.0,473.0,833.0,317.0,221.0,123.0,16.0,18.5,76.9,78.6,3.0
