,School ID,Year,Composite
0,400010,2007,15.9
1,400010,2008,15.8
2,400010,2009,15.3
3,400010,2010,15.6
4,400010,2011,16.1
5,400010,2012,15.9
6,400010,2013,16.3
7,400010,2014,15.2
8,400010,2015,14.7
9,400010,2016,15.2
10,610513,2012,18.2
11,610513,2013,18.1
12,610513,2014,18.5
13,610513,2015,18.6
14,610513,2016,18.8
15,610524,2012,18.0
16,610524,2013,16.9
17,610524,2014,17.7
18,610524,2015,17.4
19,610524,2016,17.6
20,400012,2015,16.3
21,400012,2016,14.8
22,609695,2001,15.3
23,609695,2002,15.4
24,609695,2003,15.5
25,609695,2004,15.9
26,609695,2005,15.9
27,609695,2006,16.0
28,609695,2007,16.5
29,609695,2008,16.9
30,609695,2009,16.3
31,609695,2010,16.0
32,609695,2011,16.6
33,609695,2012,16.8
34,609695,2013,16.5
35,609695,2014,17.0
36,609695,2015,18.1
37,609695,2016,18.2
38,400013,2008,14.5
39,400013,2010,15.9
40,400013,2011,15.5
41,400013,2012,16.6
42,400013,2013,16.1
43,400013,2014,15.3
44,400013,2015,16.5
45,400013,2016,14.9
46,400015,2006,16.9
47,400015,2007,16.6
48,400015,2008,17.6
49,400015,2009,15.7
50,400015,2010,15.8
51,400015,2011,15.5
52,400015,2012,15.6
53,400015,2013,14.9
54,400015,2014,15.5
55,400018,2009,14.5
56,400018,2010,15.4
57,400018,2011,14.4
58,400018,2012,14.1
59,400018,2013,13.7
60,400018,2014,14.5
61,400018,2015,14.0
62,400018,2016,14.4
63,610501,2010,14.6
64,610501,2011,14.9
65,610501,2012,14.6
66,610501,2013,14.5
67,610501,2014,14.0
68,610501,2015,14.1
69,610501,2016,14.0
70,610563,2016,17.6
71,800001,2015,
72,610555,2012,12.9
73,610555,2013,13.0
74,610555,2014,13.5
75,610555,2015,12.9
76,610555,2016,12.7
77,800003,2015,
78,800003,2016,
79,609698,2001,16.1
80,609698,2002,15.7
81,609698,2003,16.0
82,609698,2004,15.9
83,609698,2005,15.4
84,609698,2006,15.5
85,609698,2007,15.7
86,609698,2008,15.7
87,609698,2009,15.0
88,609698,2010,15.0
89,609698,2011,15.2
90,609698,2012,15.7
91,609698,2013,15.3
92,609698,2014,15.6
93,609698,2015,15.0
94,609698,2016,14.9
95,610323,2007,15.1
96,610323,2008,14.8
97,610323,2009,15.1
98,610323,2010,15.2
99,610323,2011,14.6
100,610323,2012,14.2
101,610323,2013,14.3
102,610323,2014,14.8
103,610323,2015,14.2
104,610323,2016,14.6
105,610381,2008,16.4
