School ID,Enrollment Pct
400010,56.3
400013,29.5
400015,30.8
400018,31.8
400022,79.6
400032,64.3
400033,64.9
400034,76.6
400035,72.0
400036,68.0
400038,25.0
400042,62.1
400051,84.7
400052,84.2
400053,80.5
400054,85.7
400055,77.2
400056,76.9
400057,88.0
400058,65.8
400059,63.2
400061,53.2
400062,75.7
400064,81.6
400066,62.3
400070,14.7
400073,47.7
400077,80.4
400085,63.0
400086,67.1
400087,61.4
400091,60.0
400094,72.7
400097,84.4
400098,88.4
400102,74.6
400104,56.4
400105,75.0
400106,81.3
400108,36.1
400109,18.6
400115,76.9
400123,8.9
400124,12.5
400125,4.2
400126,6.8
400127,14.9
400128,6.3
400129,0.0
400130,14.6
400131,19.1
400133,24.4
400134,16.7
400135,6.9
400136,39.3
400137,66.7
400139,7.4
400141,26.4
400142,18.2
400143,8.3
400144,20.8
400145,17.6
400147,7.5
400150,19.4
400164,18.2
400173,22.4
400175,8.3
400176,27.3
609674,34.4
609676,43.5
609678,87.3
609679,66.4
609680,87.7
609682,47.4
609691,42.6
609692,63.2
609693,76.7
609694,58.3
609695,54.4
609698,54.6
609702,37.5
609704,37.8
609705,29.0
609707,46.4
609708,44.6
609709,21.8
609710,48.0
609711,31.9
609712,40.5
609713,47.7
609715,55.1
609716,36.2
609718,59.5
609719,65.7
609720,85.0
609722,35.9
609723,43.8
609724,66.3
609725,66.8
609726,85.1
609727,55.4
609728,38.0
609729,50.1
609730,59.4
609732,47.4
609733,51.5
609734,63.0
609735,31.7
609736,38.5
609737,73.4
609738,79.6
609739,54.9
609740,51.0
609741,56.2
609744,0.0
609745,2.1
609746,78.3
609748,5.1
609749,93.4
609751,82.1
609753,79.8
609754,44.8
609755,85.2
609756,65.8
609759,43.3
609760,45.7
609761,34.4
609762,40.4
609764,50.6
609766,10.8
609768,44.8
609769,3.7
609780,46.2
610244,54.1
610245,20.7
610304,45.2
610323,49.4
610334,51.1
610340,80.4
610357,47.2
610380,74.7
610381,65.5
610383,56.6
610384,58.5
610385,41.0
610386,27.0
610389,45.3
610390,63.3
610391,83.6
610392,57.8
610394,65.4
610402,80.0
610495,27.3
610497,15.6
610499,41.2
610501,17.4
610506,50.7
610513,61.5
610518,40.0
610524,59.6
610529,72.6
610543,62.2
610547,64.2
610555,11.4
610557,18.8
610565,7.8
610566,12.5
610567,14.3
610568,16.7
610569,37.8
610570,12.8
610571,7.4
610580,22.2
610582,20.8
800012,16.7
