Crime_ID,Crime_Type,Distance,School_ID
HZ414281,0,0.4960377789308497,400059
HZ414273,1,0.12158879832859563,610357
HZ414333,2,0.37589544790847385,609710
HZ414309,1,0.3147847551109362,609724
HZ414328,7,0.10479741210330384,609740
HZ414328,7,0.3959456704218867,400051
HZ414341,2,0.3796184213156162,400141
HZ414304,1,0.23034229192180078,400032
HZ414325,1,0.19561597098400466,400128
HZ414347,0,0.3147847551109362,609724
HZ414275,1,0.32158157393996323,400106
HZ414338,0,0.406451194300495,610580
HZ414338,0,0.36308736960918275,609759
HZ414355,1,0.36724667149812595,609711
HZ414301,7,0.26621339887684997,610573
HZ414415,12,0.3217713202020604,400123
HZ414397,1,0.14537101141923345,400175
HZ414449,2,0.15504641765947277,610386
HZ414532,0,0.39846886053494096,609679
HZ414470,2,0.29803400028931976,609727
HZ414510,6,0.08318767280208265,400052
HZ414473,0,0.48597299826915963,400106
HZ414551,1,0.286372758560552,400118
HZ414530,1,0.35571663271822895,400125
HZ414530,1,0.3076044373190297,400013
HZ414530,1,0.4512233802471115,400172
HZ414568,4,0.3830615016846179,610244
HZ414607,15,0.34212709616624404,400059
HZ414607,15,0.21362687427958077,610566
HZ414607,15,0.24471875683007174,610499
HZ414400,1,0.398834752390153,400059
HZ414400,1,0.3648033191922567,609722
HZ414400,1,0.4987700102073031,610566
HZ414400,1,0.41097442618326163,610499
HZ414637,1,0.4921823185887572,610357
HZ414408,4,0.1575733003009887,400113
HZ414408,4,0.24564531051839897,400170
HZ414653,0,0.47622013427466287,400052
HZ414483,2,0.2207834546540855,400150
HZ414575,4,0.3687102961146661,610334
HZ414559,6,0.4461814515593032,400091
HZ414606,6,0.40269200221858203,400032
HZ414421,2,0.23317812173633817,400175
HZ414433,7,0.11266679436209973,400161
HZ414701,0,0.2409949694832938,610394
HZ414712,9,0.46791117735342325,400022
HZ414679,0,0.29234174051203127,609750
HZ414669,0,0.3735195323253844,610394
HZ414548,1,0.35630831613606906,609682
HZ414548,1,0.22044911356853078,610386
HZ414632,4,0.438611010178903,610245
HZ414632,4,0.44123091378863066,400127
HZ414648,7,0.12117473165557245,610244
HZ414357,1,0.2944412110281456,610245
HZ414357,1,0.3864003714897494,610518
HZ414642,1,0.31930403215196146,610518
HZ414623,0,0.18961792396252244,400144
HZ414427,1,0.29229169557886914,609723
HZ414693,4,0.40114732984086887,609707
HZ414734,8,0.2914464950498438,609678
HZ414764,0,0.0916048441478646,400058
HZ414760,7,0.35818213424550316,610389
HZ414779,15,0.46523470230304054,610334
HZ414709,4,0.4210761157080074,609715
HZ414654,7,0.4519664964203933,609715
HZ414839,0,0.09302462754553051,400058
HZ414823,0,0.38355901570772544,400157
HZ414823,0,0.28018343355755654,610323
HZ414856,0,0.3961506386338106,610386
HZ414795,7,0.18701141174818148,400058
HZ414790,15,0.40857858891232046,609723
HZ414871,0,0.4535661003797029,400105
HZ414871,0,0.05973677760811253,609754
HZ414883,15,0.3264028251613954,400119
HZ414894,15,0.42138758345974836,400144
HZ414797,1,0.44599095330086663,610245
HZ414797,1,0.27993593111694975,610518
HZ414930,6,0.31477986940833735,400057
HZ414930,6,0.41731625794781074,609750
HZ414774,16,0.37147935751441497,609682
HZ414884,0,0.22567928786109348,400117
HZ414945,8,0.39385675656817326,609678
HZ414977,0,0.4858137416534157,400098
HZ414977,0,0.3762816018842369,400133
HZ414863,9,0.4991269166363428,610580
HZ414949,2,0.30147396167600476,609719
HZ415080,6,0.43755182038184065,609748
HZ415080,6,0.3664879198167023,610357
HZ414411,4,0.4151875692722043,400128
HZ415032,1,0.35944653789386966,400143
HZ414948,0,0.3586331505877276,609692
HZ415070,9,0.41739614644969647,610543
HZ414911,7,0.42194689705590765,609756
HZ414911,7,0.3551355245364115,400179
HZ415035,4,0.27298130920682606,610381
HZ415035,4,0.21167971724373008,610380
HZ415019,1,0.4387978723871384,400113
HZ415015,0,0.21385943136443233,400036
HZ415060,6,0.4603721221781473,400131
HZ415011,0,0.32909730878008414,400127
HZ415002,2,0.3337609020225375,610566
HZ415002,2,0.27015305991830674,400118
HZ415006,4,0.38450320852764186,609691
HZ414956,4,0.26780201009966575,610391
HZ415154,0,0.3232724815519106,609738
HZ415059,0,0.4936135876882608,610561
HZ415059,0,0.2774003155425089,610304
HZ414373,2,0.29491586940022485,610244
HZ415216,0,0.24963688997194494,400141
HZ415192,7,0.4968679826954802,609783
HZ415173,1,0.28957161761234823,400010
HZ415071,4,0.42410461970142493,609768
HZ415063,2,0.3920107448480886,400032
HZ415208,6,0.39290856667599733,609715
HZ415248,0,0.40372460189832315,609680
HZ415158,12,0.48107349545396005,609680
HZ415236,7,0.4053613878854591,610340
HZ415174,1,0.3011321356205112,609727
HZ415041,1,0.3600006382525467,400058
HZ414965,4,0.4936135876882608,610561
HZ414965,4,0.2774003155425089,610304
HZ415143,1,0.3232002042298156,610587
HZ415246,6,0.2228809982550589,610543
HZ415201,15,0.21291438396749643,400035
HZ415226,2,0.38185629767493223,400056
HZ415226,2,0.31510380166137136,610389
HZ415304,14,0.28035538842284474,610561
HZ415304,14,0.3945689989444343,610571
HZ415304,14,0.12973347114380882,610304
HZ415237,1,0.4097511209459395,400173
HZ415135,4,0.28038374395540816,400175
HZ414887,0,0.13243857898856384,400098
HZ414887,0,0.07981906474413743,400133
HZ415348,15,0.47487753478435835,610561
HZ415348,15,0.4001045092088268,610571
HZ415348,15,0.18208865715708958,610304
HZ415287,0,0.4915835528927023,609720
HZ415247,2,0.35469964669535425,400157
HZ415247,2,0.4486792778338086,610323
HZ415289,9,0.3045544929200998,400162
HZ415356,4,0.21458631394495278,609682
HZ415356,4,0.24339172707374843,610386
HZ415382,15,0.4759831976879646,400056
HZ415382,15,0.2132379023662504,610389
HZ415250,9,0.19487414895929783,610580
HZ415250,9,0.19339930172861217,609759
HZ415230,0,0.43348394864109696,400119
HZ415355,0,0.2955426539036516,400010
HZ415204,4,0.473412220575247,400126
HZ415305,6,0.4519943240029778,400130
HZ415131,12,0.2539764780493391,609678
HZ415362,2,0.4549799876649032,400036
HZ415340,14,0.17081793336288778,609726
HZ415322,16,0.3361584322995955,400128
HZ415328,8,0.01423920862681536,400141
HZ415344,6,0.32801343111487136,610518
HZ414961,1,0.3809011556498638,610513
HZ415357,0,0.4866430641927724,400170
HZ415073,4,0.11973129091759853,609761
HZ415073,4,0.10246344754544091,400156
HZ414919,2,0.43256027327675695,610568
HZ415418,1,0.3803738452005565,400056
HZ415418,1,0.3147515563886357,610389
HZ415424,1,0.14760954307652624,610381
HZ415424,1,0.06514798311650032,610380
HZ415460,2,0.3757970489779977,400032
HZ415309,6,0.3937862737707818,610565
HZ415479,16,0.4642937266022455,609711
HZ415467,4,0.37652383197472333,609762
HZ415377,1,0.4199832478419831,609704
HZ415471,15,0.41667606762176285,400059
HZ415471,15,0.40512737575257113,609722
HZ415471,15,0.4786744154730777,610499
HZ415431,8,0.22581668445845673,400098
HZ415431,8,0.25924161973887355,400133
HZ415470,9,0.31691747850505025,400125
HZ415470,9,0.3981877898703575,400013
HZ415086,9,0.3851826810931417,610304
HZ415484,1,0.15629695302941324,610566
HZ415490,1,0.31450244621812584,609715
HZ415526,4,0.49332833433521495,400035
HZ415530,1,0.4009659343147411,400119
HZ415512,8,0.20264951166170117,400058
HZ415556,0,0.4607149930918561,610568
HZ415499,11,0.4263771582699475,609749
HZ415531,1,0.3445162334270417,610573
HZ415483,7,0.2790477034230657,400124
