'Name','Address','Zipcode','Science','Math','English','College','Progress'
'Victory Preparatory Academy High State Charter School','5701 Quebec Street, Commerce City, CO 80022','80022','61%','','77%','2',''
'iSchool High at Montgomery  The Woodlands','3232 College Park Drive, Ste. 212 , The Woodlands, TX 77384','77384','','','100%','',''
'International School Of Beaverton--High','17770 SW Blanton St, Aloha, OR 97007','97007','','83%','93%','9',''
'Humanitas Art School At Roosevelt High','456 South Mathews Street, Los Angeles, CA 90033','90033','','','','',''
'Fairfield Schools','16115 South Langdon Road, Langdon, KS 67583','67583','87%','14%','','',''
'Concord Schools','173 School St, Concord, VT 05824','05824','63%','28%','24%','',''
'Bartlett Schools','P O Box 170, Bartlett, TX 76511','76511','67%','68%','38%','3',''
'Darrouzett Schools','P O Box 98, Darrouzett, TX 79024','79024','10%','50%','','9',''
'Fayetteville Schools','P O Box 129, Fayetteville, TX 78940','78940','77%','54%','82%','6',''
'Marfa Schools','P O Box T, Marfa, TX 79843','79843','56%','59%','56%','5',''
'Seagraves Schools','P O Box 1505, Seagraves, TX 79359','79359','71%','60%','51%','2',''
'Slidell Schools','P O Box 69, Slidell, TX 76267','76267','46%','70%','57%','9',''
'Tenaha Schools','P O Box 318, Tenaha, TX 75974','75974','45%','67%','48%','5',''
'Akiachak School','Akiachak 51100, Akiachak, AK 99551','99551','','0%','0%','',''
'Tuluksak School','Tuluksak 115, Tuluksak, AK 99679','99679','7%','0%','0%','',''
'Akiak School','Akiak 5227, Akiak, AK 99552','99552','0%','1%','1%','',''
'Chevak School','985 Ksd Way, Chevak, AK 99563','99563','12%','4%','4%','',''
'Whaley School','2220 Nichols St, Anchorage, AK 99508','99508','41%','2%','13%','',''
'Angoon School','500 Katanook Way, Angoon, AK 99820','99820','18%','3%','15%','',''
'Yakutat School','429 Forest Hwy, Yakutat, AK 99689','99689','54%','11%','13%','',''
'Oyler School','1700 Grand Ave, Cincinnati, OH 45214','45214','33%','33%','11%','1',''
'Shrine School','4259 Forest View Drive, Memphis, TN 38118','38118','','','','',''
'Cabot School','25 Common Rd, Cabot, VT 05647','05647','14%','26%','43%','7',''
'Colton School','706 Union, Colton, WA 99113','99113','85%','64%','91%','5',''
'Hutch School','527 Minor Av North, Seattle, WA 98109','98109','','','','',''
'Jayton Schools','P O Box 168, Jayton, TX 79528','79528','55%','91%','100%','8',''
'Sanderson Schools','P O Box 747, Sanderson, TX 79848','79848','64%','68%','','8',''
'Contractual Schools','16250 Ne 74th St, Redmond, WA 98052','98052','','','','',''
'Chaputnguak School','102 Village Rd, Chefornak, AK 99561','99561','0%','2%','0%','',''
'Kwigillingok School','108 Village Rd, Kwigillingok, AK 99622','99622','11%','4%','0%','',''
'Eek School','103 Village Rd, Eek, AK 99578','99578','6%','8%','5%','',''
'Nuniwarmiut School','109 Village Rd, Mekoryuk, AK 99630','99630','','8%','13%','',''
'Ayaprun School','112 Village Rd, Newtok, AK 99559','99559','0%','1%','0%','',''
'Nightmute School','General Delivery, Nightmute, AK 99690','99690','10%','6%','2%','',''
'Alakanuk School','9 School Rd, Alakanuk, AK 99554','99554','10%','5%','3%','',''
'Emmonak School','General Delivery, Emmonak, AK 99581','99581','8%','0%','1%','',''
'Marshall School','89 School Rd, Marshall, AK 99585','99585','8%','1%','0%','',''
'Kotlik School','20129 School Rd, Kotlik, AK 99620','99620','6%','1%','1%','',''
'Adak School','100 Mechanics Rd, Adak, AK 99546','99546','','9%','18%','',''
'Gambell School','169 Gravel Blvd., Gambell, AK 99742','99742','17%','5%','6%','',''
'Shishmaref School','Seaview Ln, Shishmaref, AK 99772','99772','21%','10%','5%','',''
'Unalakleet School','130 Main Rd, Unalakleet, AK 99684','99684','43%','33%','18%','',''
'Wales School','490 Main St, Wales, AK 99783','99783','','10%','5%','',''
'Aniguiin School','29 Main St, Elim, AK 99739','99739','9%','0%','0%','',''
'Shaktoolik School','40 Main St, Shaktoolik, AK 99771','99771','19%','7%','4%','',''
'Tukurngailnguq School','Main St, Stebbins, AK 99671','99671','3%','2%','1%','',''
'Diomede School','Main St, Diomede, AK 99762','99762','','','0%','',''
'Tok School','249 Jon Summary Way, Tok, AK 99780','99780','64%','19%','24%','',''
'Tetlin School','100 Main St, Tetlin, AK 99779','99779','','0%','0%','',''
'Slana School','Mile 4 Nabesna Rd, Slana, AK 99586','99586','','','','',''
